,Unnamed: 0,plot_ID_from_plot,farm_ID,Object.state,Status,Accuracy,collection_date_from_plot,plot_number,plot_owner,plot_area,plot_boundary,plot_lat_long,plot_soil_type,plot_soil_color,plot_soil_quality,plot_topography,season_ID,plot_ID_from_season,validation,collection_date_from_season,farmed_season1,plot_number_season1,crop_grown_season1,secondary_crop_grown_season1,reason_for_crop_season1,production_season1,labor_type_season1,hired_labor_days_season1,hired_labor_cost_season1,tractor_season1,combine_season1,baler_season1,tiller_season1,seed_drill_season1,van_season1,motor_pump_season1,weeder_season1,sprayer_season1,harrow_season1,cart_season1,plow_season1,other_equipment_season1,used_animal_season1,animal_type_season1,secondary_animal_type_season1,labor_soil_preparation_season1,harrowing_season1,sowing_date_season1,seed_variety_season1,reason_for_seed_variety_season1,row_spacing_season1,seed_amount_season1,num_seeds_per_hole_season1,seed_cost_season1,weed_season1,weed_method_season1,ridging_season1,other_management_season1,used_fertilizer_season1,fertilizer_num_sacks_season1,fertilizer_type_season1,fertilizer_formula_season1,fertilizer_amount_season1,insecticide_season1,insecticide_brand_season1,fungicide_season1,fungicide_brand_season1,herbicide_season1,herbicide_brand_season1,harvest_date_season1,harvest_duration_season1,harvest_num_sacks_season1,kg_per_sack_season1,storage_place_season1,secondary_storage_place_season1,harvest_sold_season1,harvest_sold_place_season1,selling_date_season1,selling_duration_season1,plot_insurance_season1,insurance_premium_season1,insurance_compensation_season1,insurance_compensation_amount_season1,insurance_satisfaction_season1,farmed_season2,plot_number_season2,crop_grown_season2,reason_for_crop_season2,plot_insurance_season2,area_sown_season2,first_rainfall_date_season2,sowing_date_season2,seed_amount_demanded_season2,seed_amount_received_season2,seed_value_season2,seed_variety_season2,seed_provider_season2,seed_payment_method_season2,fertilizer1_application_season2,fertilizer1_type_season2,fertilizer1_why_not_applied_season2,fertilizer1_date_season2,fertilizer1_type_season2.1,fertilizer1_amount_season2,fertilizer1_cost_season2,fertilizer2_application_season2,fertilizer2_date_season2,fertilizer2_type_season2,fertilizer2_amount_season2,fertilize2_cost_season2,used_other_inputs_season2,other_inputs_type_season2,received_credit_season2,credit_amount_demanded_season2,credit_amount_received_season2,credit_source_season2,interest_rate_season2,farmed_dry_season,crop_grown_dry_season,fertilizer_type_dry_season,irrigation_method_dry_season,irrigation_cost_dry_season,irrigation_source_dry_season
16,16,3756,3533,Validated,Enable,2,8/29/16 15:22,1,owned,1,8687,-16.063805 | 16.421251666667,Deck,black,medium,flat,3646,3756,validated,8/29/16 15:26,yes,2,irrigated_rice,,subsistence,6,family,0,0,no,no,no,no,no,no,no,no,yes,no,yes,no,,no,,,yes,no,2/18/16,certified,yield,0,120,10,300,herbicide,,no,,yes,8810,DAP/Urea,inconu urÈe 46%,300,no,,no,,yes,weedone et propanil,8/18/16,1,20,80,shop,,850,market,8/28/16,1,yes,10000,no,0,not_at_all,yes,2,,subsistence,yes,1,8/14/16,8/26/16,140,120,300,sahel 108,bank,credit,yes,NPK/Urea,,9/26/16,NPK,100,8810,yes,9/28/16,Urea,200,8110,no,,yes,350000,350000,bank,7%,yes,irrigated_rice,NPK/Urea,Bassin/Submersion,71000,river
17,17,3757,3534,Validated,Enable,3,8/29/16 15:41,1,owned,1,6225,-16.076186666667 | 16.418886666667,Deck,black,medium,flat,3647,3757,validated,8/30/16 0:31,yes,5,irrigated_rice,,subsistence,13,family,0,0,no,no,no,no,no,no,no,no,yes,no,no,no,,no,,,yes,no,2/19/16,certified,yield,0,120,10,225,herbicide,herbicide,no,,yes,16,DAP/Urea,inconu et urÈe 46%,300,no,,no,,yes,weedone et propanil,7/19/16,2,30,80,shop,,800,market,8/23/16,2,yes,10000,no,0,not_at_all,yes,5,irrigated_rice,subsistence,yes,2,8/10/16,8/23/16,120,120,225,sahel 108,bank,credit,yes,NPK/Urea,,9/24/16,NPK,100,17620,yes,10/28/16,Urea,200,48660,no,,yes,300000,300000,bank,7%,yes,irrigated_rice,DAP/Urea,Bassin/Submersion,80000,river
18,18,3758,3538,Validated,Enable,2,11/21/16 13:06,1,owned,0.8,8248,-16.069003955028 | 16.419796941991,Deck,black,medium,flat,3650,3758,validated,8/29/16 15:42,yes,8,irrigated_rice,,subsistence,20,family,0,0,no,no,no,no,no,no,no,no,yes,no,yes,no,,no,,,no,no,2/23/16,certified,yield,0,120,10,300,herbicide,herbicide,no,,yes,27,NPK/Urea,18 46 00 / urÈe 46%,450,no,,no,,yes,weedone et propanil,7/26/16,20,30,80,shop,,2975,market,8/2/16,2,yes,10000,no,0,not_at_all,yes,6,irrigated_rice,subsistence,yes,3,8/8/16,8/23/16,120,120,300,sahel 108,bank,credit,yes,NPK/Urea,,9/26/16,NPK,100,17620,yes,10/28/16,Urea,350,56770,no,,yes,373000,373000,bank,0%,no,,NPK/Urea,Bassin/Submersion,71000,river
19,19,3759,3539,Validated,Enable,3,9/1/16 10:19,1,owned,1,10303,-16.076304962298 | 16.419531099668,Deck,black,good,flat,3651,3759,validated,9/1/16 10:22,yes,1,irrigated_rice,,subsistence,10,paid,120,1500,no,no,no,no,no,no,no,no,yes,no,yes,no,,no,,,no,no,2/28/16,certified,yield,0,140,10,300,herbicide,herbicide,no,,yes,9,DAP/Urea,inconu et urÈe 46%,450,no,,no,,yes,weedone et propanil,7/28/16,10,10,80,shop,,2400,market,7/28/16,2,yes,10000,no,0,not_at_all,yes,1,irrigated_rice,subsistence,yes,1,8/10/16,8/20/16,140,140,300,sahel 108,bank,credit,yes,NPK/Urea,,9/22/16,NPK,100,17660,yes,10/27/16,Urea,350,56770,no,,yes,373000,373000,bank,7%,yes,irrigated_rice,NPK/Urea,Bassin/Submersion,71000,river
20,20,3760,3540,Validated,Enable,2,9/1/16 10:17,1,owned,1,12310,-16.076601666667 | 16.419071666667,Deck,black,medium,flat,3652,3760,validated,9/1/16 10:16,yes,1,irrigated_rice,,subsistence,7,family,0,0,no,no,no,no,no,no,no,no,yes,no,no,no,,no,,,no,no,2/28/16,certified,yield,0,120,10,300,herbicide,herbicide,no,,yes,9,DAP/Urea,inconu et urÈe 46%,100,no,,no,,yes,weedone et propanil,7/28/16,2,20,85,shop,,2125,market,8/28/16,1,yes,10000,no,0,,yes,1,,subsistence,yes,1,8/10/16,8/28/16,120,120,300,sahel 108,bank,credit,yes,NPK/Urea,,9/24/16,NPK,100,17660,yes,10/23/16,Urea,350,56770,no,,yes,400000,400000,bank,7%,yes,irrigated_rice,NPK/Urea,Bassin/Submersion,81000,river
21,21,3762,3541,Validated,Enable,2,9/1/16 13:43,1,owned,0,4669,-16.067038630619 | 16.422698806586,Deck,black,medium,flat,3653,3762,validated,9/1/16 13:44,yes,5,irrigated_rice,,subsistence,2.9,family,0,0,no,no,no,no,no,no,no,no,yes,no,yes,no,,no,,,no,no,2/18/16,certified,yield,0,120,10,360,herbicide,herbicide,no,weeding,yes,27,DAP/Urea,inconu et urÈe 46%,450,no,,no,,yes,weedone propanil,7/25/16,14,20,85,shop,,1445,market,8/20/16,2,yes,10000,no,0,not_at_all,yes,5,irrigated_rice,subsistence,yes,3,8/10/16,8/23/16,120,120,360,sahel 108,bank,credit,yes,NPK/Urea,,9/25/16,NPK,100,17620,yes,10/25/16,Urea,350,56770,no,,yes,390000,390000,bank,7%,yes,irrigated_rice,NPK/Urea,Bassin/Submersion,81000,river
22,22,3763,3542,Validated,Enable,3,11/21/16 13:03,1,owned,0.45,3973,-16.071493220902 | 16.421416341247,Deck,black,medium,flat,3654,3763,validated,8/29/16 16:41,yes,4,irrigated_rice,,subsistence,6,paid,120,1200,no,no,no,no,no,no,no,no,yes,no,yes,no,,no,,,no,no,2/19/16,certified,yield,0,130,10,300,herbicide,herbicide,no,,yes,27,NPK/Urea,18 46 00 / urÈe 46,450,no,,no,,yes,weedone et propanil,7/26/16,10,40,85,shop,,2125,market,8/24/16,2,yes,10000,no,0,not_at_all,yes,4,irrigated_rice,subsistence,yes,3,8/10/16,9/2/16,130,120,300,sahel 108,bank,credit,yes,NPK/Urea,,10/4/16,NPK,100,17620,yes,10/6/16,Urea,350,56770,no,,yes,450000,450000,bank,7%,yes,irrigated_rice,NPK/Urea,Bassin/Submersion,81000,river
23,23,3764,3543,Validated,Enable,2,9/1/16 13:11,1,owned,0.2,1843,-16.065085956681 | 16.426070523715,Deck,black,medium,flat,3655,3764,validated,9/1/16 13:11,yes,2,irrigated_rice,,subsistence,3.145,family,0,0,no,no,no,no,no,no,no,no,no,no,yes,no,,no,,,no,no,2/18/16,certified,yield,0,120,10,300,herbicide,herbicide,no,,yes,6,NPK/Urea,18 46 00 / urÈe 46%,450,no,,no,,yes,weedone et propanil,8/23/16,20,21,85,shop,,850,market,8/22/16,2,yes,10000,no,0,not_at_all,yes,2,irrigated_rice,subsistence,yes,1,8/10/16,8/23/16,120,120,300,sahel 108,bank,credit,yes,NPK/Urea,,9/23/16,NPK,100,17620,yes,10/24/16,Urea,350,56770,no,,yes,390000,390000,bank,7%,yes,irrigated_rice,NPK/Urea,Bassin/Submersion,71000,river
24,24,3765,3544,Validated,Enable,3,8/29/16 16:01,1,owned,0.3,3873,-16.064256692816 | 16.425536420508,Deck,black,medium,flat,3656,3765,validated,8/29/16 16:05,yes,2,irrigated_rice,,subsistence,8,family,0,0,no,no,no,no,no,no,no,no,yes,no,yes,no,,no,,,no,no,2/12/16,certified,yield,0,120,10,300,herbicide,herbicide,no,weeding,yes,9,DAP/Urea,inconu et urÈe 46%,450,no,,no,,yes,weedone et propanil,7/27/16,2,30,85,shop,,2125,market,8/20/16,1,yes,10000,no,0,not_at_all,yes,2,irrigated_rice,subsistence,yes,1,8/5/16,8/20/16,120,120,300,sahel 108,bank,credit,yes,NPK/Urea,,9/21/16,NPK,100,17620,yes,10/24/16,Urea,350,56770,no,,yes,390000,390000,bank,7%,yes,irrigated_rice,NPK/Urea,Bassin/Submersion,71000,river
25,25,3782,3550,Validated,Enable,10,10/16/16 4:47,1,owned,0.4,4078,-15.988429231154 | 16.471663149184,Autres,black,good,flat,3672,3782,validated,8/29/16 18:48,yes,1,irrigated_rice,,cash,2800,family,0,0,no,no,no,no,no,no,yes,no,yes,no,yes,yes,,no,,,yes,,2/20/16,certified,more yield,0,120,0,325,no,,yes,,yes,3,DAP/Urea,18 46 00et46%,350,yes,furodan,no,,yes,propanyl weeden,6/20/16,1,0,80,shop,,1600,market,7/20/16,1,yes,150000,no,0,not_at_all,no,,,,no,0,0000-00-00,0000-00-00,0,0,0,,,,,,,0000-00-00,,0,0,,0000-00-00,,0,0,,,,0,0,,0%,no,,,,0,
26,26,3783,3551,Validated,Enable,10,10/17/16 8:56,1,owned,0.5,2414,-15.986976754959 | 16.471991055708,Autres,brown,medium,flat,3674,3783,validated,10/16/16 4:56,yes,1,irrigated_rice,,cash,4,family,0,35000,no,no,no,no,no,no,yes,no,yes,no,yes,no,,no,,,yes,,2/15/16,certified,more yield,0,120,0,350,,,,,yes,4,DAP/Urea,18 46 00 et 46%,350,no,,no,,yes,propanyl weeden,6/1/16,1,20,82,shop,,3000,market,7/1/16,1,yes,10000,no,0,moderate,yes,1,irrigated_rice,seed_production,yes,5,8/15/16,8/1/16,60,60,21000,sahel 108,local_union,credit,yes,NPK/Urea,,8/20/16,DAP,150,24900,,0000-00-00,,0,0,,,,0,0,,0%,no,,,,0,
27,27,3784,3552,Validated,Enable,10,10/16/16 4:48,1,owned,0.5,4419,-15.988011666667 | 16.47113,Autres,black,medium,flat,3676,3784,validated,11/7/16 12:58,yes,1,irrigated_rice,,seed_production,3,paid,120,1000,no,no,no,no,no,no,yes,no,yes,no,yes,no,,no,,,yes,,2/2/16,certified,more profitable,0,120,0,350,,,,,yes,3,DAP/Urea,18 46 00 et 46%,350,yes,furodan,no,,yes,propanyl weeden,6/2/16,1,25,80,shop,,2400,market,7/1/16,0,yes,10000,no,0,moderate,no,,,,no,0,0000-00-00,0000-00-00,0,0,0,,,,,,,0000-00-00,,0,0,,0000-00-00,,0,0,,,,0,0,,0%,no,,,,0,
28,28,3785,3553,Validated,Enable,10,9/1/16 13:52,1,owned,0.5,4618,-15.986979766865 | 16.470898487865,Autres,brown,medium,flat,3677,3785,validated,11/7/16 17:34,yes,1,irrigated_rice,,seed_production,24,paid,120,1000,no,no,no,no,no,no,yes,no,yes,no,no,no,,no,,,yes,,2/15/16,certified,good yield,0,120,0,350,,,,,yes,3,DAP/Urea,18 46 00 et 46%,350,yes,furodan,no,,yes,propanyl weeden,6/15/16,1,25,80,shop,,2400,market,7/1/16,1,yes,10000,no,0,moderate,yes,1,irrigated_rice,seed_production,yes,5,8/15/16,8/1/16,60,60,9960,sahel,134,credit,yes,NPK/Urea,,0000-00-00,,0,0,,0000-00-00,,0,0,,,,0,0,,0%,yes,irrigated_rice,DAP/Urea,Bassin/Submersion,40000,hydraulic_pump
29,29,3786,3554,Validated,Enable,10,10/16/16 4:45,1,family,0.45,4599,-15.986405316136 | 16.471681541419,Autres,black,medium,flat,3678,3786,validated,9/23/16 22:58,yes,1,irrigated_rice,,cash,3,family,0,0,no,no,no,no,no,no,yes,no,yes,no,yes,no,,no,,,yes,no,2/15/16,certified,good yield,0,120,0,350,no,,no,,yes,4,DAP/Urea,18 46 00 et46%,350,yes,furodan,no,,yes,propanyl weeden ronstar,6/15/16,2,38,78,other,under_tarp_at_home,1500,market,7/1/16,1,yes,10000,no,0,,yes,1,irrigated_rice,seed_production,yes,5,8/15/16,8/1/16,60,60,21000,sahel 134,local_union,credit,yes,NPK/Urea,,8/20/16,DAP,0,0,,0000-00-00,,0,0,,,,0,0,,0%,yes,irrigated_rice,DAP/Urea,Bassin/Submersion,40000,hydraulic_pump
