id,village_id,validation_status,accuracy,farmerDate,coop_name,gender,age,years_farming,education_level,num_wives,wife_trades,wife_food_crops,wife_crafts,num_children,num_young_children,num_older_children,num_children_in_school,children_working,income,transportation,housing_material,access_electricity,access_drinking_water,access_healthcare,wants_credit,credit_from_coop,credit_from_third_party,credit_from_bank,loan_amount,loan_rate,has_bridge_loan,bridge_loan_amount,pledged_output,wants_bridge_loan,wants_bridge_loan_amount,input_use,input_cost,inputs_useful,interest_use_inputs,interest_insurance,use_ag_services,ag_services_quality,ag_services_frequency,interest_ag_services,buyer_type,last_price,num_plots,total_ha,main_crop,secondary_crop,has_loan,valid_children,fraction_in_school,coop_id,fraction_in_school_binned,income_binned,num_plots_binned,years_farming_binned,age_binned,num_children_binned,num_older_children_binned,num_young_children_binned,num_wives_binned,education_level_binned,wife_roles,creditworthy,nonzero_income,plot_list
3950,458,Validated,2,2016-12-27 13:08:00,it1,0.0,39.0,20.0,Non AlphabEtisE,1,0,1,0,5.0,1,4,4,0.0,0.0,A pied,2.0,1.0,2.0,1.0,3.0,1.0,1.0,0.0,,,0.0,0,1.0,0.0,0.0,1.0,300000.0,2.0,0.0,0.0,1.0,2.0,4.0,0.0,market,300.0,1.0,1.76,IRice,IRice,0.0,True,0.8,0,3.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,,[7804]
3951,458,Validated,2,2016-12-27 13:08:00,it1,0.0,50.0,30.0,AlphabEtisE,1,1,0,0,4.0,1,3,3,2.0,0.0,Voiture,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,,,0.0,0,0.0,,0.0,4.0,30000.0,2.0,2.0,0.0,1.0,2.0,4.0,1.0,market,125.0,2.0,1.0,IRice,IRice,0.0,True,0.75,0,3.0,0.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,,
3952,458,Validated,2,2016-12-27 13:08:00,it1,0.0,66.0,20.0,Non AlphabEtisE,3,0,0,0,10.0,0,0,0,4.0,0.0,A pied,2.0,0.0,2.0,1.0,3.0,1.0,1.0,0.0,,,0.0,0,0.0,0.0,0.0,4.0,45000.0,2.0,2.0,2.0,1.0,1.0,3.0,0.0,market,200.0,3.0,0.6,IRice,IRice,0.0,True,0.0,0,0.0,0.0,1.0,2.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,[7799]
3953,458,Validated,2,2016-12-27 13:08:00,it1,0.0,39.0,30.0,Secondaire,1,0,0,0,3.0,3,0,0,0.0,0.0,Voiture,0.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,50000.0,18.0,0.0,0,0.0,,0.0,2.0,100000.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,market,300.0,5.0,1.78,IRice,IRice,1.0,True,0.0,0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,,
3954,458,Validated,2,2016-12-27 13:08:00,it1,0.0,72.0,40.0,Non AlphabEtisE,2,0,0,0,8.0,0,0,0,4.0,0.0,A pied,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,,,0.0,0,0.0,0.0,0.0,4.0,60000.0,2.0,2.0,2.0,1.0,0.0,3.0,0.0,market,200.0,4.0,1.7,IRice,IRice,0.0,True,0.0,0,0.0,0.0,2.0,3.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,[7800]
4040,457,Validated,2,2016-12-27 13:08:00,it1,0.0,50.0,35.0,Non AlphabEtisE,1,1,0,0,7.0,1,3,7,2.0,0.0,Voiture,2.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,200000.0,18.0,0.0,0,0.0,0.0,0.0,3.0,50000.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,market,250.0,5.0,2.12,IRice,,1.0,True,1.0,0,3.0,0.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,[7453]
4041,457,Validated,2,2016-12-27 13:08:00,it2,0.0,32.0,20.0,Non AlphabEtisE,1,0,0,0,0.0,0,0,0,,0.0,Voiture,2.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,50000.0,18.0,0.0,0,0.0,0.0,0.0,4.0,200000.0,1.0,2.0,0.0,1.0,1.0,0.0,2.0,market,300.0,5.0,0.97,IRice,garden,1.0,True,,1,,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,[5229]
4043,457,Validated,2,2016-12-27 13:08:00,it2,0.0,39.0,30.0,AlphabEtisE,1,0,0,0,7.0,2,5,3,4.0,0.0,Voiture,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,,,0.0,0,0.0,0.0,0.0,3.0,150000.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,market,300.0,6.0,1.19,IRice,garden,0.0,True,0.42857142857142855,1,2.0,0.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,,[7792]
4045,457,Validated,2,2016-12-27 13:08:00,it2,0.0,44.0,30.0,Non AlphabEtisE,1,1,0,0,10.0,4,6,6,2.0,0.0,VElo,2.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,100000.0,18.0,0.0,0,0.0,,0.0,0.0,100000.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,market,300.0,5.0,1.5,IRice,garden,1.0,True,0.6,1,3.0,0.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,,[7339]
4046,457,Validated,3,2016-12-27 13:08:00,it2,0.0,37.0,20.0,SupErieur,1,0,0,0,4.0,4,0,0,,0.0,A pied,2.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,,18.0,0.0,0,0.0,,0.0,2.0,200000.0,1.0,2.0,0.0,1.0,1.0,3.0,0.0,market,200.0,5.0,1.0,IRice,garden,1.0,True,0.0,1,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,,[5479]
4047,457,Validated,2,2016-12-27 13:08:00,it2,0.0,58.0,40.0,AlphabEtisE,1,0,1,0,4.0,0,2,4,1.0,0.0,A pied,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,,,0.0,0,0.0,0.0,0.0,4.0,100000.0,2.0,2.0,0.0,1.0,1.0,3.0,0.0,market,300.0,3.0,1.22,IRice,garden,0.0,True,1.0,1,3.0,0.0,1.0,3.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,,[7374]
4048,457,Validated,2,2016-12-27 13:08:00,it2,0.0,39.0,20.0,Non AlphabEtisE,1,0,1,0,4.0,1,2,0,0.0,0.0,A pied,2.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,150000.0,18.0,0.0,0,0.0,0.0,0.0,2.0,50000.0,0.0,0.0,0.0,2.0,1.0,4.0,0.0,market,300.0,4.0,1.44,IRice,garden,1.0,True,0.0,1,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,[7674]
4049,457,Validated,2,2016-12-27 13:08:00,it2,0.0,53.0,30.0,Non AlphabEtisE,1,0,1,0,7.0,2,1,4,1.0,40000.0,A pied,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,,,0.0,0,0.0,0.0,0.0,3.0,100000.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,market,300.0,5.0,2.02,IRice,garden,0.0,True,0.5714285714285714,1,3.0,0.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,40000.0,[7367]
4050,457,Validated,2,2016-12-27 13:08:00,it2,0.0,52.0,40.0,Non AlphabEtisE,1,1,0,0,5.0,0,0,5,2.0,40000.0,A pied,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0,0.0,0.0,4.0,65000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,market,250.0,8.0,2.58,IRice,garden,0.0,True,1.0,1,3.0,0.0,2.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,40000.0,[7379]
4051,457,Validated,2,2016-12-27 13:08:00,it2,1.0,59.0,30.0,AlphabEtisE,0,0,0,0,8.0,0,7,7,2.0,50000.0,A pied,2.0,1.0,2.0,2.0,1.0,2.0,1.0,0.0,,,0.0,0,0.0,0.0,0.0,3.0,45000.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,market,300.0,5.0,1.64,IRice,garden,0.0,True,0.875,1,3.0,0.0,2.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,,0.0,50000.0,[7368]
4052,457,Validated,1,2016-12-27 13:08:00,it2,0.0,48.0,20.0,AlphabEtisE,1,1,0,0,5.0,1,4,5,2.0,0.0,Moto/Mobylette,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,,,0.0,0,0.0,0.0,0.0,4.0,70000.0,2.0,1.0,0.0,1.0,1.0,3.0,1.0,market,250.0,2.0,0.41,IRice,garden,0.0,True,1.0,1,3.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,,[7794]
4053,457,Validated,2,2016-12-27 13:08:00,it2,0.0,66.0,50.0,Non AlphabEtisE,1,1,0,0,5.0,0,0,3,4.0,0.0,A pied,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,,,0.0,0,0.0,,0.0,3.0,60000.0,2.0,0.0,0.0,1.0,1.0,3.0,2.0,market,200.0,6.0,2.41,IRice,garden,0.0,True,0.6,1,3.0,0.0,2.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,[6075]
4054,457,Validated,2,2016-12-27 13:08:00,it2,0.0,41.0,21.0,Non AlphabEtisE,1,0,0,0,7.0,0,2,2,1.0,0.0,Moto/Mobylette,2.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,,,0.0,0,0.0,0.0,0.0,1.0,40000.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,market,200.0,7.0,1.82,IRice,garden,0.0,True,0.2857142857142857,1,1.0,0.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,[7370]
4055,457,Validated,2,2016-12-27 13:08:00,it2,0.0,56.0,30.0,Non AlphabEtisE,1,0,0,0,9.0,4,5,5,0.0,0.0,A pied,2.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,,,0.0,0,1.0,0.0,0.0,4.0,50000.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,market,250.0,7.0,2.06,IRice,garden,0.0,True,0.5555555555555556,1,2.0,0.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,,[7659]
4056,457,Validated,2,2016-12-27 13:08:00,it2,1.0,61.0,50.0,Non AlphabEtisE,0,0,0,0,5.0,0,0,3,2.0,0.0,A pied,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,,,0.0,0,0.0,0.0,0.0,3.0,30000.0,1.0,2.0,0.0,1.0,0.0,3.0,1.0,market,300.0,6.0,1.74,IRice,garden,0.0,True,0.6,1,3.0,0.0,2.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,,0.0,,[7378]
4113,457,Validated,3,2016-12-27 13:08:00,it2,0.0,54.0,30.0,AlphabEtisE,1,0,0,0,8.0,1,5,4,2.0,0.0,A pied,2.0,1.0,2.0,1.0,4.0,2.0,0.0,0.0,,,0.0,0,0.0,0.0,0.0,4.0,50000.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,market,300.0,6.0,2.14,IRice,garden,0.0,True,0.5,1,2.0,0.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,,[7258]
4114,457,Validated,2,2016-12-27 13:08:00,it2,0.0,52.0,35.0,Non AlphabEtisE,1,0,0,0,10.0,2,5,8,2.0,0.0,A pied,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,,,0.0,0,0.0,,0.0,3.0,70000.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,market,200.0,6.0,2.12,IRice,garden,0.0,True,0.8,1,3.0,0.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,,[5214]
4115,457,Validated,2,2016-12-27 13:08:00,it2,0.0,59.0,40.0,,1,1,0,0,2.0,2,0,0,0.0,0.0,A pied,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,,,450000.0,450000,0.0,0.0,0.0,2.0,50000.0,1.0,0.0,0.0,2.0,0.0,3.0,1.0,market,200.0,5.0,1.02,IRice,garden,0.0,True,0.0,1,0.0,0.0,2.0,3.0,3.0,0.0,0.0,1.0,1.0,,1.0,0.0,,[7239]
4118,457,Validated,1,2016-12-27 13:08:00,it2,0.0,44.0,34.0,AlphabEtisE,1,0,0,0,10.0,2,6,10,2.0,0.0,A pied,2.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,,,0.0,0,0.0,0.0,0.0,1.0,70000.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,market,300.0,7.0,2.22,IRice,garden,0.0,True,1.0,1,3.0,0.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,,[6066]
4119,457,Validated,2,2016-12-27 13:08:00,it2,1.0,44.0,34.0,AlphabEtisE,0,0,0,0,2.0,0,2,2,0.0,0.0,A pied,2.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,,,150000.0,150000,1.0,0.0,300000.0,2.0,100000.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,market,200.0,6.0,1.82,IRice,garden,0.0,True,1.0,1,3.0,0.0,2.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,,0.0,,[7237]
4120,457,Validated,3,2016-12-27 13:08:00,it2,0.0,47.0,32.0,Non AlphabEtisE,1,1,0,0,5.0,0,3,3,0.0,0.0,A pied,2.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,,,0.0,0,0.0,0.0,0.0,3.0,65000.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,market,300.0,2.0,0.55,IRice,garden,0.0,True,0.6,1,3.0,0.0,1.0,3.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,,[7280]
4121,457,Validated,2,2016-12-27 13:08:00,it2,0.0,53.0,45.0,Non AlphabEtisE,1,1,0,0,7.0,0,3,5,1.0,0.0,A pied,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,,,50000.0,50000,2.0,0.0,150000.0,4.0,50000.0,0.0,0.0,2.0,1.0,1.0,3.0,0.0,market,300.0,3.0,1.22,IRice,garden,0.0,True,0.7142857142857143,1,3.0,0.0,1.0,3.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,,[5418]
4156,457,Validated,2,2016-12-27 13:08:00,it2,0.0,52.0,30.0,Non AlphabEtisE,1,1,0,0,8.0,2,3,0,1.0,0.0,A pied,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,,,0.0,0,,,0.0,3.0,45000.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,market,200.0,5.0,1.92,IRice,garden,0.0,True,0.0,1,0.0,0.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,,[7793]
4157,457,Validated,3,2016-12-27 13:08:00,it2,0.0,64.0,50.0,Non AlphabEtisE,1,0,0,0,15.0,0,1,7,1.0,0.0,A pied,2.0,1.0,2.0,1.0,3.0,1.0,1.0,0.0,,,0.0,0,0.0,0.0,0.0,3.0,45000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,market,200.0,6.0,1.92,IRice,garden,0.0,True,0.4666666666666667,1,2.0,0.0,2.0,3.0,4.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,,[7380]
4158,457,Validated,3,2016-12-27 13:08:00,it2,1.0,54.0,30.0,AlphabEtisE,0,1,0,0,12.0,0,0,12,2.0,0.0,A pied,2.0,1.0,2.0,0.0,2.0,1.0,1.0,0.0,,,0.0,0,0.0,,0.0,2.0,50000.0,1.0,2.0,0.0,1.0,0.0,3.0,1.0,merchant,300.0,8.0,2.79,IRice,garden,0.0,True,1.0,1,3.0,0.0,2.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,,0.0,,[5207]
4159,457,Validated,3,2016-12-27 13:08:00,it2,0.0,50.0,41.0,AlphabEtisE,2,0,0,0,19.0,5,5,17,,0.0,Voiture,2.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,,,0.0,0,0.0,0.0,0.0,3.0,60000.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,market,300.0,5.0,1.54,IRice,garden,0.0,True,0.8947368421052632,1,3.0,0.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,,[7791]
4160,500,Validated,2,2016-12-27 13:08:00,it2,0.0,58.0,40.0,AlphabEtisE,1,0,0,0,8.0,2,4,6,2.0,0.0,A pied,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,,,0.0,0,0.0,,0.0,4.0,55000.0,1.0,2.0,0.0,1.0,1.0,,,market,300.0,5.0,,IRice,garden,0.0,True,0.75,1,3.0,0.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,,[7798]
4161,457,Validated,2,2016-12-27 13:08:00,it2,1.0,68.0,50.0,Non AlphabEtisE,0,0,0,0,10.0,2,8,8,,0.0,A pied,2.0,1.0,2.0,1.0,3.0,1.0,1.0,0.0,,,0.0,0,2.0,1.0,0.0,4.0,50000.0,0.0,0.0,2.0,1.0,1.0,3.0,2.0,market,300.0,5.0,1.82,IRice,garden,0.0,True,0.8,1,3.0,0.0,2.0,3.0,4.0,2.0,2.0,1.0,0.0,0.0,,0.0,,[7652]
4162,457,Validated,3,2016-12-27 13:08:00,it2,1.0,62.0,50.0,Non AlphabEtisE,0,0,0,0,4.0,0,4,1,4.0,0.0,A pied,2.0,1.0,2.0,1.0,3.0,1.0,1.0,0.0,,,0.0,0,,,0.0,3.0,60000.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,market,0.0,5.0,1.82,IRice,garden,0.0,True,0.25,1,1.0,0.0,2.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,,0.0,,[7365]
4163,457,Validated,2,2016-12-27 13:08:00,it2,0.0,67.0,50.0,AlphabEtisE,1,0,0,0,10.0,3,5,0,4.0,1000000.0,A pied,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,,,0.0,0,0.0,0.0,0.0,2.0,65000.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,market,125.0,4.0,0.64,IRice,garden,0.0,True,0.0,1,0.0,3.0,2.0,3.0,4.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1000000.0,[7371]
4164,457,Validated,4,2016-12-27 13:08:00,it2,1.0,64.0,50.0,Non AlphabEtisE,0,0,0,0,20.0,6,9,9,1.0,0.0,A pied,2.0,1.0,2.0,1.0,3.0,1.0,1.0,0.0,,,0.0,0,,,0.0,4.0,75000.0,0.0,0.0,2.0,1.0,1.0,3.0,2.0,market,300.0,3.0,0.66,IRice,garden,0.0,True,0.45,1,2.0,0.0,1.0,3.0,4.0,2.0,2.0,2.0,0.0,0.0,,0.0,,[7369]
4165,457,Validated,2,2016-12-27 13:08:00,it399999999,0.0,32.0,20.0,Non AlphabEtisE,1,0,0,0,10.0,2,8,1,4.0,0.0,A pied,2.0,1.0,2.0,1.0,3.0,1.0,1.0,0.0,,,0.0,0,,,0.0,4.0,45000.0,0.0,0.0,2.0,1.0,1.0,3.0,0.0,market,250.0,4.0,1.7,IRice,garden,0.0,True,0.1,2,0.0,0.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,,[5212]
4166,457,Validated,3,2016-12-27 13:08:00,it399999999,1.0,52.0,40.0,Non AlphabEtisE,0,0,0,0,8.0,0,2,6,1.0,0.0,A pied,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0,,0.0,2.0,45000.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,market,200.0,5.0,2.0,IRice,garden,0.0,True,0.75,2,3.0,0.0,2.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,,0.0,,[5224]
4167,457,Validated,2,2016-12-27 13:08:00,it399999999,0.0,34.0,20.0,AlphabEtisE,1,0,0,0,3.0,2,1,1,1.0,0.0,A pied,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,,,0.0,0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,market,0.0,5.0,1.82,IRice,garden,0.0,True,0.3333333333333333,2,2.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,,[5227]
4168,457,Validated,2,2016-12-27 13:08:00,it399999999,0.0,38.0,28.0,Non AlphabEtisE,1,0,0,0,7.0,2,2,0,0.0,0.0,A pied,2.0,0.0,2.0,1.0,3.0,1.0,1.0,0.0,,,0.0,0,,,0.0,4.0,25000.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,market,250.0,2.0,0.2,IRice,garden,0.0,True,0.0,2,0.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,[7335]
